Days,Log10Titer,Trt,Pond,Experiment
0,3.293914741,Unfiltered,Divide,WaterDegII
2.958333333,3.141449773,Unfiltered,Divide,WaterDegII
9.041666667,1.698970004,Unfiltered,Divide,WaterDegII
0,3.643452676,Filtered,Divide,WaterDegII
2.958333333,3.62324929,Filtered,Divide,WaterDegII
9.041666667,3.40654018,Filtered,Divide,WaterDegII
13.10416667,3.484299839,Filtered,Divide,WaterDegII
26.125,3.371067862,Filtered,Divide,WaterDegII
0,3.27588696,Unfiltered,Aloma,WaterDegII
1.083333333,2.977723605,Unfiltered,Aloma,WaterDegII
0,4.053078443,Filtered,Aloma,WaterDegII
2.958333333,4.329906123,Filtered,Aloma,WaterDegII
9.041666667,3.728353782,Filtered,Aloma,WaterDegII
13.10416667,3.462397998,Filtered,Aloma,WaterDegII
26.125,3.146128036,Filtered,Aloma,WaterDegII
2.958333333,3.562292864,Unfiltered,Twenty-seven-mile,WaterDegII
0,3.865281685,Filtered,Twenty-seven-mile,WaterDegII
1.083333333,3.872156273,Filtered,Twenty-seven-mile,WaterDegII
2.958333333,4.075546961,Filtered,Twenty-seven-mile,WaterDegII
0,3.612783857,Unfiltered,ARC,WaterDegI
1,2.826074803,Unfiltered,ARC,WaterDegI
4,0,Unfiltered,ARC,WaterDegI
6,0.698970004,Unfiltered,ARC,WaterDegI
10,0,Unfiltered,ARC,WaterDegI
0,3.208172527,Filtered,ARC,WaterDegI
1,3.002166062,Filtered,ARC,WaterDegI
4,1.929418926,Filtered,ARC,WaterDegI
6,1.176091259,Filtered,ARC,WaterDegI
10,0,Filtered,ARC,WaterDegI